ENG,4
MATH,3
HIST,3
SCI,3
WL,2
PE,4
VPA,1
PA,1
PF,0.5
CREDS1Y,30
CREDS2Y,30
CREDS3Y,30
CREDS4Y,30
CREDSTOTAL,120
